county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
臺南市,看見光亮心理諮商所,https://www.hopelight.com.tw/index.html,06-3584327,臺南市北區海安路三段985巷27弄13號,https://www.google.com.tw/maps/place/臺南市北區海安路三段985巷27弄13號,無,0,0,1,0,1,2025/08/27,true,true
臺南市,奇美醫療財團法人奇美醫院,https://www.chimei.org.tw/,06-2228116分機58206,臺南市永康區中華路901號,https://www.google.com.tw/maps/place/臺南市永康區中華路901號,無,6,7,11,0,24,2025/08/25,false,true
臺南市,曙光角落心理諮商所,http://www.eosgrace.com,0978909965,臺南市東區崇明路155巷4號,https://www.google.com.tw/maps/place/臺南市東區崇明路155巷4號,無,0,3,3,3,9,2025/08/31,false,true
臺南市,悅晴心理諮商所,https://reurl.cc/yL3gaD,0912874211,臺南市安平區怡平路442巷88號2樓,https://www.google.com.tw/maps/place/臺南市安平區怡平路442巷88號2樓,無,3,3,5,6,17,2025/08/31,false,true
臺南市,緩緩心理諮商所,https://www.huanhuan.tw/,0902009832,臺南市北區開元里北園街124巷10弄64號2樓,https://www.google.com.tw/maps/place/臺南市北區開元里北園街124巷10弄64號2樓,自付場地費400元,3,3,0,0,6,2025/08/23,true,true
臺南市,繪日藝術心理諮商所,,（06）3565588,臺南市安南區怡安路一段98號,https://www.google.com.tw/maps/place/臺南市安南區怡安路一段98號,自付場地費400元。如進行藝術治療媒材費200元另計。,10,8,8,0,26,2025/08/26,true,true
臺南市,看見愛心理諮商所,,06-2977769,臺南市安平區永華二街183號1樓,https://www.google.com.tw/maps/place/臺南市安平區永華二街183號1樓,無,0,0,3,3,6,2025/09/02,true,true
臺南市,樂行診所,https://www.cjclinic.com.tw/,06-2705633,台南市仁德區中正路二段1116號,https://www.google.com.tw/maps/place/台南市仁德區中正路二段1116號,首次需先讓醫師評估確認需求才會分派治療，故會有首次看診費用，排入方案治療後，三次治療不額外收取費用看診費用,2,2,2,2,8,2025/09/02,false,true
臺南市,安平心寬診所,https://www.facebook.com/AnpingMindSPA/,06-2973757,台南市安平區華平路537號,https://www.google.com.tw/maps/place/台南市安平區華平路537號,本院所轉介心理諮商需先醫師看診評估，依初診或複診收取掛號費,10,10,11,12,43,2025/09/01,false,true
臺南市,禾心心理諮商所,https://www.sandplayworld-holdingself.com.tw/team2.html,06-3587725,臺南市北區中華北路二段80巷65號,https://www.google.com.tw/maps/place/臺南市北區中華北路二段80巷65號,自付場地費400元,8,12,8,10,38,2025/09/02,true,true
臺南市,深藏心理治療所,,0963689820,臺南市東區崇明路399號2樓,https://www.google.com.tw/maps/place/臺南市東區崇明路399號2樓,行政處理費250元（單次）,12,12,12,0,36,2025/08/25,true,true
臺南市,上善心理治療所,,06-237-5555,臺南市北區林森路三段77號2樓,https://www.google.com.tw/maps/place/臺南市北區林森路三段77號2樓,無,9,9,11,12,41,2025/09/01,true,true
臺南市,春暉診所,,06-2690555,臺南市東區崇學路139-2號,https://www.google.com.tw/maps/place/臺南市東區崇學路139-2號,行政處理費200元,0,2,2,2,6,2025/09/02,false,true
臺南市,樂而康診所,,06-2607799,臺南市東區崇德路880號一樓,https://www.google.com.tw/maps/place/臺南市東區崇德路880號一樓,掛號費200元,3,5,6,7,21,2025/09/01,false,true
臺南市,好心情心理諮商所,https://goodmoodpsy.weebly.com/,0909334443,臺南市安平區建平七街453巷75號2樓之2,https://www.google.com.tw/maps/place/臺南市安平區建平七街453巷75號2樓之2,場地費200元,8,8,8,0,24,2025/08/26,true,true
臺南市,欣橋心理治療所,http://bridges-clinic.com,0937-800-681、06-3022820,臺南市永康區東橋十街20號,https://www.google.com.tw/maps/place/臺南市永康區東橋十街20號,行政費用400元,5,5,5,5,20,2025/09/01,true,true
臺南市,星語心理治療所,https://ppstainan.com/home-a/,0938057530,臺南市永康區東橋一路552號,https://www.google.com.tw/maps/place/臺南市永康區東橋一路552號,無,8,4,4,4,20,2025/09/01,true,true
臺南市,真心診所,http://www.heartfeltclinic.com,06-3036002,臺南市永康區東橋十街118號2樓,https://www.google.com.tw/maps/place/臺南市永康區東橋十街118號2樓,掛號費250元,3,3,0,0,6,2025/09/01,true,true
臺南市,和朗心理諮商所,https://2024bekind.mystrikingly.com/,06-2993800,臺南市安平區文平路428號2樓,https://www.google.com.tw/maps/place/臺南市安平區文平路428號2樓,無,0,1,2,2,5,2025/09/01,true,true
臺南市,這會心理諮商所,https://togetherwithheart.com/,0918071281,臺南市關廟區南雄路二段30號,https://www.google.com.tw/maps/place/臺南市關廟區南雄路二段30號,無,0,0,0,0,0,2025/09/02,true,false
臺南市,慈恩心理治療所,https://www.cheerpsy.com/,06-3126267,臺南市永康區中華路1-60號,https://www.google.com.tw/maps/place/臺南市永康區中華路1-60號,自付場地費400元,0,0,0,0,0,尚未更新,true,false
