county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
高雄市,小魚兒心理治療所,https://www.childpsycho365.com,(07)398-0118,高雄市三民區澄清路620號2樓,https://www.google.com.tw/maps/place/高雄市三民區澄清路620號2樓,行政處理費500元,2,2,0,0,4,2025/09/01,true,true
高雄市,小魚兒心理成長空間心理治療所,https://linktr.ee/childpsycho365,(07)398-0118,高雄市三民區澄和路25號,https://www.google.com.tw/maps/place/高雄市三民區澄和路25號,行政處理費500元,2,2,2,2,8,2025/09/08,true,true
高雄市,盼望心理治療所,https://www.livinghopetw.com/,(07)550-6592,高雄市左營區至聖路3號,https://www.google.com.tw/maps/place/高雄市左營區至聖路3號,行政處理費200元,0,0,2,0,2,2025/09/01,true,true
高雄市,微風心理治療所,https://www.breeze-psychology.com/,0911-901-899,高雄市鼓山區美術東三路23號,https://www.google.com.tw/maps/place/高雄市鼓山區美術東三路23號,行政處理費400元,12,12,12,12,48,2025/09/08,true,true
高雄市,心之森心理治療所,https://www.forestofmind.com/,(07)380-9380,高雄市三民區民族巷1-7號,https://www.google.com.tw/maps/place/高雄市三民區民族巷1-7號,行政處理費200元,2,2,2,0,6,2025/09/04,true,true
高雄市,溫島心理治療所,https://www.facebook.com/wondermind515,(07)963-8515,高雄市前鎮區瑞和街6號,https://www.google.com.tw/maps/place/高雄市前鎮區瑞和街6號,掛號費100元,4,6,6,0,16,2025/09/03,false,true
高雄市,心托邦心理治療所,https://www.mindtopia.com.tw/,0983-769-055,高雄市苓雅區中正二路131號,https://www.google.com.tw/maps/place/高雄市苓雅區中正二路131號,行政處理費200元,0,0,4,0,4,2025/09/01,true,true
高雄市,旅行心理治療所,https://sites.google.com/view/journey-psychological-clinic,0972-691-801,高雄市苓雅區憲政路138號,https://www.google.com.tw/maps/place/高雄市苓雅區憲政路138號,行政處理費500元,1,1,5,10,17,2025/09/07,false,true
高雄市,欣寧心理治療所,https://www.facebook.com/CheerfulMindsClinics,(07)350-2119,高雄市左營區重愛路395號,https://www.google.com.tw/maps/place/高雄市左營區重愛路395號,平日下午五點前：掛號費100元+行政處理費300元，平日下午五點後與周六/日整日：掛號費100元+行政處理費500元,58,0,0,0,58,2025/09/07,false,true
高雄市,幸福家庭心理諮商所,https://sites.google.com/view/rosehappyfamily,0931-890-895,高雄市楠梓區大學東路620號,https://www.google.com.tw/maps/place/高雄市楠梓區大學東路620號,無,1,1,1,1,4,2025/09/07,true,true
高雄市,回甘心理諮商所,https://bsccpsy.com/,(07)588-9880,高雄市左營區站前北路100號4樓,https://www.google.com.tw/maps/place/高雄市左營區站前北路100號4樓,無,12,12,0,0,24,2025/08/26,true,true
高雄市,安康心理諮商所,https://www.ankangcenter.com/,(07)726-3880,高雄市新興區新興路34號2樓,https://www.google.com.tw/maps/place/高雄市新興區新興路34號2樓,無,4,4,0,0,8,2025/08/28,false,true
