county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
彰化縣,敦仁醫院,https://www.dunren.com.tw/,04-7071727#203,彰化縣員林市員水路一段102巷74弄99號,https://www.google.com.tw/maps/place/彰化縣員林市員水路一段102巷74弄99號,無,1,0,0,0,1,2025/08/20,false,true
彰化縣,沐昀心理治療所,https://www.daylight-psy.com/,04-7200060,彰化市博愛街64 號,https://www.google.com.tw/maps/place/彰化市博愛街64 號,無,2,2,2,0,6,2025/09/04,false,true
彰化縣,雁行心理諮商所,https://loveiseverythingorg.wordpress.com,0908-139283,彰化縣彰化市桃源里南郭路一段361-1號,https://www.google.com.tw/maps/place/彰化縣彰化市桃源里南郭路一段361-1號,無,4,4,4,0,12,2025/08/31,false,true
彰化縣,真宸心理治療所,www.jenchenpc.com,0909-506501,彰化市金馬路三段135號,https://www.google.com.tw/maps/place/彰化市金馬路三段135號,無,10,10,10,0,30,2025/09/01,true,true
彰化縣,彰化基督教醫療財團法人彰化基督教醫院,https://www.cch.org.tw/,04-7238595,彰化縣彰化市南校街135號;中華路176號;旭光路235號;旭光路320號,https://www.google.com.tw/maps/place/彰化縣彰化市南校街135號;中華路176號;旭光路235號;旭光路320號,無,11,11,11,0,33,2025/09/02,true,true
彰化縣,唯心心理治療所,https://www.facebook.com/profile.php?id=100088722120204,04-7222076,彰化市辭修路76號,https://www.google.com.tw/maps/place/彰化市辭修路76號,無,2,4,8,0,14,2025/09/03,false,true
彰化縣,未知有智心理諮商所,https://unknown-wisdom.com/,0921-623003,彰化市中山路一段403號6樓,https://www.google.com.tw/maps/place/彰化市中山路一段403號6樓,,5,5,5,5,20,2025/09/09,false,true
彰化縣,芙樂奇心理諮商所,https://www.psflourish.com.tw/,04-8346028,彰化縣員林市南和街64號,https://www.google.com.tw/maps/place/彰化縣員林市南和街64號,無,0,0,0,0,0,尚未更新,true,false
彰化縣,秀傳醫療社團法人秀傳紀念醫院,https://www.scmh.org.tw/,0975-611-165/0975-611-234,彰化縣彰化市中山路一段542號,https://www.google.com.tw/maps/place/彰化縣彰化市中山路一段542號,無,0,0,0,0,0,尚未更新,false,false
彰化縣,四季心心理諮商所,https://seasonmind.blogspot.com/,0966-189708,彰化縣員林市浮圳路二段470號,https://www.google.com.tw/maps/place/彰化縣員林市浮圳路二段470號,無,0,0,0,0,0,尚未更新,true,false
彰化縣,彰化師大社區心理諮商所,https://humanweb.ncue.edu.tw/app/index.php,04-7289258,彰化市進德路1號(綜合中心3樓),https://www.google.com.tw/maps/place/彰化市進德路1號(綜合中心3樓),無,0,0,0,0,0,2025/08/30,true,false
彰化縣,衛生福利部彰化醫院,https://www.chhw.mohw.gov.tw/guide.php,8298686,彰化縣埔心鄉中正路二段80號,https://www.google.com.tw/maps/place/彰化縣埔心鄉中正路二段80號,掛號費320元,0,0,0,0,0,尚未更新,false,false
彰化縣,修慧身心科診所,,04-7266158,彰化縣和美鎮中圍里彰新路三段531號,https://www.google.com.tw/maps/place/彰化縣和美鎮中圍里彰新路三段531號,掛號費150元,0,0,0,0,0,尚未更新,true,false
彰化縣,安晴心理治療所,,0963682903,彰化縣鹿港鎮埔崙里自由路301號,https://www.google.com.tw/maps/place/彰化縣鹿港鎮埔崙里自由路301號,,0,0,0,0,0,尚未更新,true,false
