county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
屏東縣,安己心理治療所,,0930920640,屏東市民富街86巷13號,https://www.google.com.tw/maps/place/屏東市民富街86巷13號,無,3,4,4,0,11,2025/08/04,false,true
屏東縣,牧陽心理治療所,http://www.muyoung.com.tw/,08-7328695,屏東縣屏東市中山路277號,https://www.google.com.tw/maps/place/屏東縣屏東市中山路277號,1.週間平日：200元（含掛號費及行政處理費）2.晚間及假日：300元（含掛號費、行政處理費及晚間假日指定費）3.中低收入戶、領有身心障礙手冊、重大傷病卡者免掛號費，僅需繳交100元行政處理費。,10,12,12,0,34,2025/08/14,false,true
屏東縣,衛生福利部屏東醫院,https://www.pntn.mohw.gov.tw,08-736-3011轉2811,屏東市自由路270號,https://www.google.com.tw/maps/place/屏東市自由路270號,無,0,0,3,3,6,2025/08/11,false,true
屏東縣,啟初心理治療所,https://www.facebook.com/profile.php?id=100063721707238,0975313630,屏東市仁愛路79-2號,https://www.google.com.tw/maps/place/屏東市仁愛路79-2號,掛號費100元,12,12,0,0,24,2025/08/01,false,true
屏東縣,屏安醫療社團法人屏安醫院,http://www.pingan.url.tw/htdocs/index.php,08-7622670 分機1121,屏東縣長治鄉信義路129號 (長治院區)、屏東縣麟洛鄉中山路160-1號(麟洛院區),https://www.google.com.tw/maps/place/屏東縣長治鄉信義路129號 (長治院區)、屏東縣麟洛鄉中山路160-1號(麟洛院區),無,9,9,0,0,18,2025/08/04,false,true
屏東縣,瑞興診所,http://www.pingan.url.tw/pinane/h/h1/h1.html,08-7378888,屏東縣屏東市瑞光路二段250號2樓,https://www.google.com.tw/maps/place/屏東縣屏東市瑞光路二段250號2樓,無,6,6,6,0,18,2025/08/04,false,true
屏東縣,國軍高雄總醫院屏東分院附設民眾診療服務處,https://802.mnd.gov.tw/815/,08-7560756,屏東縣屏東市大湖路58巷22號,https://www.google.com.tw/maps/place/屏東縣屏東市大湖路58巷22號,掛號費50元,2,2,2,0,6,2025/08/05,false,true
屏東縣,屏基醫療財團法人屏東基督教醫院,https://www.ptch.org.tw,(08)7368686#2111,屏東市大連路60號,https://www.google.com.tw/maps/place/屏東市大連路60號,無,3,3,3,0,9,2025/08/04,false,true
屏東縣,覺解心理諮商所,https://www.facebook.com/counselingclinic.tw/,0932826972,屏東縣林邊鄉光林村信義路14之3號,https://www.google.com.tw/maps/place/屏東縣林邊鄉光林村信義路14之3號,無,12,12,12,12,48,2025/08/11,false,true
屏東縣,安泰醫療社團法人安泰醫院,https://www.tsmh.org.tw/sites/web_dg/show_web_page.php?edsno=2,08-8329966,屏東縣東港鎮中正一段210號,https://www.google.com.tw/maps/place/屏東縣東港鎮中正一段210號,無,3,3,3,0,9,2025/08/06,false,true
屏東縣,迦樂醫療財團法人迦樂醫院,https://caloh.org.tw,0985652350,屏東縣新埤鄉箕湖村進化路12-200號,https://www.google.com.tw/maps/place/屏東縣新埤鄉箕湖村進化路12-200號,掛號費150元,12,12,0,0,24,2025/07/30,false,true
屏東縣,杏福身心診所,https://www.phdkao.com.tw/,08-7660058,屏東市中正路177號1樓,https://www.google.com.tw/maps/place/屏東市中正路177號1樓,掛號費150元 （非本院看診個案）,0,0,0,0,0,尚未更新,false,false
屏東縣,屏東榮民總醫院龍泉分院,https://www.vhlc.gov.tw/,08-7704115,屏東縣內埔鄉龍潭村昭勝路安平一巷１號,https://www.google.com.tw/maps/place/屏東縣內埔鄉龍潭村昭勝路安平一巷１號,掛號費50元,0,0,0,0,0,尚未更新,false,false
