county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
花蓮縣,臺灣基督教門諾會醫療財團法人門諾醫院,https://www.mch.org.tw/Docs/601/Default.aspx,03-8241433,花蓮市民權路44號,https://www.google.com.tw/maps/place/花蓮市民權路44號,首次收取掛號費150元，第二三次無收費,5,5,5,0,15,2025/09/01,false,true
花蓮縣,臺灣基督教門諾會醫療財團法人門諾醫院壽豐分院,https://www.mch.org.tw/Docs/601/Default.aspx,03-8664600*2107,花蓮縣壽豐鄉共和村魚池52號,https://www.google.com.tw/maps/place/花蓮縣壽豐鄉共和村魚池52號,首次收取掛號費100元，第二三次無收費,6,6,5,0,17,2025/09/01,false,true
花蓮縣,佛教慈濟醫療財團法人花蓮慈濟醫院,https://hlm.tzuchi.com.tw/home/,03-8561825,花蓮縣花蓮市中央路三段707號,https://www.google.com.tw/maps/place/花蓮縣花蓮市中央路三段707號,無,1,1,1,0,3,2025/09/01,false,true
花蓮縣,衛生福利部花蓮醫院,https://www.hwln.mohw.gov.tw/,038358141-6125,花蓮市中正路600號,https://www.google.com.tw/maps/place/花蓮市中正路600號,掛號費50元,3,3,3,0,9,2025/09/04,false,true
花蓮縣,美的心理諮商所,https://www.facebook.com/PaintUrLife.H,0986620895,花蓮市林森路246-1號2樓,https://www.google.com.tw/maps/place/花蓮市林森路246-1號2樓,無,0,1,1,0,2,2025/09/02,false,true
花蓮縣,澄隅心理諮商所,https://www.facebook.com/profile.php?id=100085883623546&mibextid=JRoKGi,0966407840,花蓮縣花蓮市主和里福建街266號,https://www.google.com.tw/maps/place/花蓮縣花蓮市主和里福建街266號,行政場地費300元,8,8,0,0,16,2025/08/26,false,true
花蓮縣,光陰時繫心理治療所,https://kairospsy.com/,0905019866,花蓮市大同街9之4號,https://www.google.com.tw/maps/place/花蓮市大同街9之4號,行政處理費400元,1,1,1,0,3,2025/09/01,true,true
花蓮縣,銘心身心診所,https://www.clinics.com.tw/hospital/3545012907,(03)8226116,花蓮市民政里31號鄰中美路113之2號1-2樓,https://www.google.com.tw/maps/place/花蓮市民政里31號鄰中美路113之2號1-2樓,無,2,3,4,0,9,2025/09/04,false,true
花蓮縣,臺北榮民總醫院玉里分院,https://org.vghtpe.gov.tw/vhyl/,03-8883141,花蓮縣玉里鎮新興街91號,https://www.google.com.tw/maps/place/花蓮縣玉里鎮新興街91號,無,0,0,0,0,0,2025/08/28,false,false
花蓮縣,衛生福利部玉里醫院,https://www.ttyl.mohw.gov.tw/,03-8886141,花蓮縣玉里鎮中華路448號,https://www.google.com.tw/maps/place/花蓮縣玉里鎮中華路448號,無,0,0,0,0,0,尚未更新,true,false
花蓮縣,國軍花蓮總醫院附設民眾診療服務處,https://805.mnd.gov.tw/,03-8263151#815870,花蓮縣新城鄉嘉里路163號,https://www.google.com.tw/maps/place/花蓮縣新城鄉嘉里路163號,無,0,0,0,0,0,2025/09/03,false,false
花蓮縣,力美心靈空間心理諮商所,FB:力美相談所AnimaAnimus,0920135290,花蓮縣吉安鄉永安村明仁二街176巷1號1樓,https://www.google.com.tw/maps/place/花蓮縣吉安鄉永安村明仁二街176巷1號1樓,掛號費100元,0,0,0,0,0,尚未更新,true,false
花蓮縣,睿翔心理治療所,https://sites.google.com/view/williamxie,03-8246020,花蓮縣花蓮市中美一街31號3樓之2,https://www.google.com.tw/maps/place/花蓮縣花蓮市中美一街31號3樓之2,無,0,0,0,0,0,2025/09/05,false,false
花蓮縣,秘密花園心理諮商所,http://hlmimi.strikingly.com/,0918096864,花蓮縣吉安鄉仁里五街146號,https://www.google.com.tw/maps/place/花蓮縣吉安鄉仁里五街146號,無,0,0,0,0,0,尚未更新,true,false
花蓮縣,相嶼心理治療所,https://sites.google.com/view/hualienpsycho/%E9%97%9C%E6%96%BC%E7%9B%B8%E5%B6%BC,03-8246899,花蓮市中興路97號,https://www.google.com.tw/maps/place/花蓮市中興路97號,行政掛號費400元,0,0,0,0,0,尚未更新,false,false
花蓮縣,昔日如今心理諮商所,https://www.past2now.com,03-8335110,花蓮市花崗街62號,https://www.google.com.tw/maps/place/花蓮市花崗街62號,行政處理費400元,0,0,0,0,0,尚未更新,true,false
花蓮縣,春好心理治療所,,03-8333182,花蓮市中和街182號,https://www.google.com.tw/maps/place/花蓮市中和街182號,,0,0,0,0,0,尚未更新,false,false
花蓮縣,本然心理諮商所,https://www.facebook.com/profile.php?id=61566611673712,Line ID：peaceshilim,花蓮巿和平路362號4樓之1,https://www.google.com.tw/maps/place/花蓮巿和平路362號4樓之1,行政掛號費150元,0,0,0,0,0,2025/09/03,true,false
花蓮縣,瑞恩心理諮商所,https://www.facebook.com/share/1P5pp1VkE3/,0982100828,花蓮巿延平街169號2樓,https://www.google.com.tw/maps/place/花蓮巿延平街169號2樓,無,0,0,0,0,0,尚未更新,false,false
