county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
新竹縣,培靈醫療社團法人關西醫院,https://peiling.kooco.co/,03-5476399,新竹縣關西鎮石門33之1號,https://www.google.com.tw/maps/place/新竹縣關西鎮石門33之1號,無,5,5,5,0,15,2026/01/07,false,true
新竹縣,心園心理治療所,https://www.mind-garden.org/doctor_1.aspx,03-5506375,新竹縣竹北市勝利八街二段111號,https://www.google.com.tw/maps/place/新竹縣竹北市勝利八街二段111號,400掛號費,5,3,6,0,14,2026/01/09,false,true
新竹縣,益鼎升心理諮商所,https://www.helping.org.tw,0931421391;03-6220303;03-6220305,新竹縣寶山鄉雙豐二街75號1樓,https://www.google.com.tw/maps/place/新竹縣寶山鄉雙豐二街75號1樓,無,30,30,30,30,120,2026/01/11,true,true
新竹縣,青空心理治療所,https://www.aozorapsyclinic.com,0972-512295,新竹縣竹北市六家五路一段335、337號,https://www.google.com.tw/maps/place/新竹縣竹北市六家五路一段335、337號,掛號費平日16:59前 500元；平日17:00後與週六 600元,2,3,3,0,8,2026/01/07,true,true
新竹縣,臺北榮民總醫院新竹分院,https://org.vghtpe.gov.tw/vhct/,03-5962134#623,新竹縣竹東鎮中豐路一段81號,https://www.google.com.tw/maps/place/新竹縣竹東鎮中豐路一段81號,掛號費180元,4,4,4,0,12,2026/01/07,false,true
新竹縣,安立身心診所,,03-6577622,新竹縣竹北市莊敬北路78號1樓,https://www.google.com.tw/maps/place/新竹縣竹北市莊敬北路78號1樓,"掛號費150元,行政管理費200元.",2,2,2,0,6,2026/01/07,false,true
新竹縣,沐光心理諮商所,https://enlightening-cc.com/,03-6578521,新竹縣竹北市成功11街150號2樓,https://www.google.com.tw/maps/place/新竹縣竹北市成功11街150號2樓,保證金600元，掛號費500元.,5,5,5,0,15,2026/01/07,true,true
新竹縣,中國醫藥大學新竹附設醫院,https://www.cmu-hch.cmu.edu.tw/,03-5580558分機1158,新竹縣竹北市興隆路一段199號,https://www.google.com.tw/maps/place/新竹縣竹北市興隆路一段199號,掛號費200元,6,6,6,0,18,2026/01/08,false,true
新竹縣,周伯翰身心醫學診所,https://www.drbrainchou.com/,03-6583289,新竹縣竹北市文興路一段52號,https://www.google.com.tw/maps/place/新竹縣竹北市文興路一段52號,行政處理費：400元,4,4,4,4,16,2026/01/11,false,true
新竹縣,寬心自在心理諮商所(竹北所),https://www.openmind-counseling-center.com/,03-5426695,新竹縣竹北市中正東路213號2樓,https://www.google.com.tw/maps/place/新竹縣竹北市中正東路213號2樓,"18歲以上成人-掛號費200元,18歲以下青少年-掛號費400元.",0,0,0,0,0,2026/01/07,false,false
新竹縣,台齡身心診所,http://www.tlwu.tw,03-5586857,新竹縣竹北市文信路376號,https://www.google.com.tw/maps/place/新竹縣竹北市文信路376號,掛號費200元,0,0,0,0,0,2026/01/05,false,false
新竹縣,理路嵐天心理諮商所,https://www.facebook.com/Leeloolanlan/,03-5290015,新竹縣寶山鄉雙豐二街25巷6號2樓,https://www.google.com.tw/maps/place/新竹縣寶山鄉雙豐二街25巷6號2樓,無,0,0,0,0,0,2026/01/05,false,false
新竹縣,智諭潛能發展心理治療所,www.zhiyutherapy.com,03-6571550,新竹縣竹北市科大二街49號1樓,https://www.google.com.tw/maps/place/新竹縣竹北市科大二街49號1樓,無,0,0,0,0,0,2026/01/05,false,false
新竹縣,星晴心理治療所,https://www.xinching-psy.com,03-6578690,新竹縣竹北市光明六路東二段268號,https://www.google.com.tw/maps/place/新竹縣竹北市光明六路東二段268號,掛號費 200 元,0,0,0,0,0,2026/01/05,false,false
新竹縣,拾光心理諮商所,https://lightsinyou.com/,03-5583800,新竹縣竹北市文信路23號1樓,https://www.google.com.tw/maps/place/新竹縣竹北市文信路23號1樓,行政處理費：400元,0,0,0,0,0,2026/01/05,true,false
新竹縣,天主教仁慈醫療財團法人仁慈醫院,https://www.mercy.org.tw/,03-5993500,新竹縣湖口鄉忠孝路29號,https://www.google.com.tw/maps/place/新竹縣湖口鄉忠孝路29號,掛號費150元,0,0,0,0,0,2026/01/05,false,false
新竹縣,重明心理諮商所,https://reunirecounseling.com/,03-5577090,新竹縣新豐鄉忠一街236巷8號,https://www.google.com.tw/maps/place/新竹縣新豐鄉忠一街236巷8號,無,0,0,0,0,0,2026/01/05,false,false
