county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
屏東縣,安己心理治療所,,0930920640,屏東市民富街86巷13號,https://www.google.com.tw/maps/place/屏東市民富街86巷13號,無,2,2,4,0,8,2026/01/04,false,true
屏東縣,牧陽心理治療所,http://www.muyoung.com.tw/,08-7328695,屏東縣屏東市中山路277號,https://www.google.com.tw/maps/place/屏東縣屏東市中山路277號,1.週間平日：200元（含掛號費及行政處理費）2.晚間及假日：300元（含掛號費、行政處理費及晚間假日指定費）3.中低收入戶、領有身心障礙手冊、重大傷病卡者免掛號費，僅需繳交100元行政處理費。,2,7,16,0,25,2026/01/07,false,true
屏東縣,啟初心理治療所,https://www.facebook.com/profile.php?id=100063721707238,0975313630,屏東市仁愛路79-2號,https://www.google.com.tw/maps/place/屏東市仁愛路79-2號,掛號費100元,12,12,12,0,36,2026/01/05,false,true
屏東縣,屏安醫療社團法人屏安醫院,http://www.pingan.url.tw/htdocs/index.php,08-7622670 分機1121,屏東縣長治鄉信義路129號 (長治院區)、屏東縣麟洛鄉中山路160-1號(麟洛院區),https://www.google.com.tw/maps/place/屏東縣長治鄉信義路129號 (長治院區)、屏東縣麟洛鄉中山路160-1號(麟洛院區),無,25,25,85,0,135,2026/01/06,false,true
屏東縣,國軍高雄總醫院屏東分院附設民眾診療服務處,https://802.mnd.gov.tw/815/,08-7560756,屏東縣屏東市大湖路58巷22號,https://www.google.com.tw/maps/place/屏東縣屏東市大湖路58巷22號,掛號費50元,3,3,3,0,9,2026/01/05,false,true
屏東縣,覺解心理諮商所,https://www.facebook.com/counselingclinic.tw/,0932826972,屏東縣林邊鄉光林村信義路14之3號,https://www.google.com.tw/maps/place/屏東縣林邊鄉光林村信義路14之3號,無,6,6,6,0,18,2026/01/05,false,true
屏東縣,安泰醫療社團法人安泰醫院,https://www.tsmh.org.tw/sites/web_dg/show_web_page.php?edsno=2,08-8329966分機3040,屏東縣東港鎮中正一段210號,https://www.google.com.tw/maps/place/屏東縣東港鎮中正一段210號,無,3,3,3,0,9,2026/01/05,false,true
屏東縣,迦樂醫療財團法人迦樂醫院,https://caloh.org.tw,0985652350,屏東縣新埤鄉箕湖村進化路12-200號,https://www.google.com.tw/maps/place/屏東縣新埤鄉箕湖村進化路12-200號,掛號費150元,12,0,0,0,12,2026/01/02,false,true
屏東縣,心所在心理治療所,https://www.findingtheheart-psy.com/,08-7360222,屏東市華山街32號2樓,https://www.google.com.tw/maps/place/屏東市華山街32號2樓,1.平日白天（9點-17點） 300元（行政費） 2.週末和平日晚上 500元（行政費+掛號費）,9,9,24,0,42,2026/01/06,true,true
屏東縣,予泰心理暨職能聯合治療所,https://withyou177.wordpress.com,08-7666180,屏東市中正路177號2樓,https://www.google.com.tw/maps/place/屏東市中正路177號2樓,無,0,0,1,0,1,2026/01/05,false,true
屏東縣,露家心理治療所,https://forms.gle/i1keY5cnTWtN8Awx5,0971703552,屏東縣恆春鎮恆南路2巷86弄61號1樓,https://www.google.com.tw/maps/place/屏東縣恆春鎮恆南路2巷86弄61號1樓,無,6,6,0,0,12,2026/01/02,false,true
屏東縣,恆基醫療財團法人恆春基督教醫院,https://www.hcch.org.tw/home,08-88892293,屏東縣恆春鎮恆西路21號,https://www.google.com.tw/maps/place/屏東縣恆春鎮恆西路21號,無,6,6,0,0,12,2026/01/05,false,true
屏東縣,衛生福利部屏東醫院,https://www.pntn.mohw.gov.tw,08-736-3011轉2811,屏東市自由路270號,https://www.google.com.tw/maps/place/屏東市自由路270號,無,0,0,0,0,0,2026/01/02,false,false
屏東縣,杏福身心診所,https://www.phdkao.com.tw/,08-7660058,屏東市中正路177號1樓,https://www.google.com.tw/maps/place/屏東市中正路177號1樓,掛號費150元 （非本院看診個案）,0,0,0,0,0,2026/01/05,false,false
屏東縣,屏東榮民總醫院龍泉分院,https://www.vhlc.gov.tw/,08-7704115,屏東縣內埔鄉龍潭村昭勝路安平一巷１號,https://www.google.com.tw/maps/place/屏東縣內埔鄉龍潭村昭勝路安平一巷１號,掛號費50元,0,0,0,0,0,2026/01/02,false,false
屏東縣,瑞興診所,http://www.pingan.url.tw/pinane/h/h1/h1.html,08-7378888,屏東縣屏東市瑞光路二段250號2樓,https://www.google.com.tw/maps/place/屏東縣屏東市瑞光路二段250號2樓,無,0,0,0,0,0,2026/01/02,false,false
