county,org_name,org_url,phone,address,map_url,pay_detail,this_week,next_week,next_2_week,next_3_week,in_4_weeks,edit_date,teleconsultation,has_quota
桃園市,尚語身心診所,https://www.listenerclinic.tw/,03-4512180,桃園市中壢區忠孝路62號,https://www.google.com.tw/maps/place/桃園市中壢區忠孝路62號,行政管理費 400元,2,2,2,5,11,2025/08/11,false,true
桃園市,尼思湖心理諮商所,https://sites.google.com/view/neathlake/%E9%A6%96%E9%A0%81?authuser=0,03-2122721 ; 0916-832895,桃園市蘆竹區南平街35號B1,https://www.google.com.tw/maps/place/桃園市蘆竹區南平街35號B1,行政管理暨場地費400元,12,12,0,0,24,2025/08/09,true,true
桃園市,衛生福利部桃園療養院,https://www.typc.mohw.gov.tw/,03-3698553分機2301-2308,桃園市桃園區龍壽街71號,https://www.google.com.tw/maps/place/桃園市桃園區龍壽街71號,掛號費150元,1,3,3,0,7,2025/08/05,true,true
桃園市,拾心元心理諮商所,https://sites.google.com/view/takeheart2023,03-2202182,桃園市桃園區中山路703號2樓之2,https://www.google.com.tw/maps/place/桃園市桃園區中山路703號2樓之2,無,2,2,2,2,8,2025/08/12,false,true
桃園市,澈心理諮商所,https://beche202311.com/,03-3579128,桃園市桃園區同德二街160號之2-3樓,https://www.google.com.tw/maps/place/桃園市桃園區同德二街160號之2-3樓,無,10,10,10,10,40,2025/08/11,true,true
桃園市,振心身心診所,https://www.inspireclinic.com.tw/,03-3376868,桃園市桃園區中山北路57號1樓,https://www.google.com.tw/maps/place/桃園市桃園區中山北路57號1樓,掛號費200元,0,0,0,1,1,2025/08/14,false,true
桃園市,四葉草心理治療所,,0963-080526,桃園市桃園區中正路1048號6樓,https://www.google.com.tw/maps/place/桃園市桃園區中正路1048號6樓,無,4,4,4,4,16,2025/08/15,false,true
桃園市,聯新國際醫院,https://www.landseedhospital.com.tw,03-494-1234,桃園市平鎮市廣泰路77號 ,https://www.google.com.tw/maps/place/桃園市平鎮市廣泰路77號 ,掛號費300-350元,1,1,0,0,2,2025/08/01,false,true
桃園市,向光心理諮商所,https://www.siangguangpsy.com/,0958143562,桃園市八德區介壽路二段788號9樓,https://www.google.com.tw/maps/place/桃園市八德區介壽路二段788號9樓,行政管理費400元,0,0,2,0,2,2025/08/03,false,true
桃園市,薰喆心理治療所,https://www.shiunjer.com/,0933-720139,桃園市桃園區中埔一街107號1樓,https://www.google.com.tw/maps/place/桃園市桃園區中埔一街107號1樓,行政費400元,3,3,3,3,12,2025/08/11,false,true
桃園市,宣恩心理諮商所,https://hsuanann-psy.carrd.co/,0905-498-990,桃園市中壢區寶慶街17號一樓,https://www.google.com.tw/maps/place/桃園市中壢區寶慶街17號一樓,無,2,2,2,2,8,2025/08/14,false,true
桃園市,育禾身心診所,https://spirits.tw/Luzhu/,03-212-4688,桃園市蘆竹區中正路138號,https://www.google.com.tw/maps/place/桃園市蘆竹區中正路138號,掛號費200元,0,1,1,0,2,2025/08/11,false,true
桃園市,助人心理諮商所,,03-3359532,桃園市桃園區復興路207號16樓1603室,https://www.google.com.tw/maps/place/桃園市桃園區復興路207號16樓1603室,無,8,8,8,0,24,2025/08/07,false,true
桃園市,福安心理治療所,,03-2737788,桃園市桃園區中正路1195號6 樓,https://www.google.com.tw/maps/place/桃園市桃園區中正路1195號6 樓,無,10,10,10,0,30,2025/08/05,false,true
